Designator,Footprint,Quantity,Value,LCSC Part #
"J2, J3, J6",SAMTEC_EHT-110-01-X-D (J_EHT-110-01-F-D),3,EHT-110-01-F-D,EHT-110-01-F-D
J4,te_pcie_x1_connector,1,CONN_pcie_x1,
J5,te_pcie_x4_connector,1,CONN_pcie_x4,
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TPG1",Test_Point_SMD,17,TP_SMD,5019
