BSPD1:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C20:1
C21:1
C22:1
C6:1
C7:1
C8:1
C9:1
CANH:1
CANL:1
D1:1
D2:1
D3:1
D5:1
D6:1
G***:1
GND_SHORT:1
H2:1
IM1:1
IP1:1
J1:1
J3:1
J4:1
J5:1
K1:1
KIBUZZARD-63B9305B:1
KIBUZZARD-63B93076:1
KIBUZZARD-63B930AD:1
KIBUZZARD-63BB8A3F:1
KIBUZZARD-63BB8A53:1
KIBUZZARD-63BF4A21:1
KIBUZZARD-63BF57C4:1
KIBUZZARD-673AE5D1:1
KIBUZZARD-673AE677:1
KIBUZZARD-673AE688:1
KIBUZZARD-673AE69E:1
KIBUZZARD-69802617:1
KIBUZZARD-698026CF:1
KIBUZZARD-69802858:1
Q1:1
R1:1
R10:1
R11:1
R12:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R23:1
R24:1
R25:1
R3:1
R4:1
R5:1
R7:1
R8:1
R9:1
REF**:1
T1:1
TP4:1
U1:1
U10:1
U11:1
U3:1
U4:1
U5:1
U6:1
U7:1
U8:1
VGND:1
VOUT:1
VSTATUS:1
VTRIP:1
Y3:1
