Designator,Footprint,Quantity,Value,LCSC Part #
"F1, F10, F11, F12, F13, F14, F15, F16, F18, F2, F3, F4, F5, F6, F7, F8, F9",0805,17,200mA_Fuse,507-1767-1-ND
"J1, J3, J4",SAMTEC_EHT-110-01-X-D (J_EHT-110-01-F-D),3,T2M-110-01-X-D-TH-WT,
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J22, J5, J50, J51, J7, J8, J9",J_Bond_Pad_4p,17,Battery Cell Spot Weld,
"J2, J6",J_Molex_Header_01x02_VT - 43045-02YY_121314,2,J_Molex_Header_01x02_VT,43045-0212
"J20, J23",J_Wurth_7461115,2,J_Redcube,7461115
"TH1, TH10, TH11, TH12, TH13, TH14, TH15, TH16, TH17, TH18, TH19, TH2, TH20, TH21, TH22, TH23, TH24, TH25, TH26, TH27, TH28, TH29, TH3, TH30, TH31, TH32, TH4, TH5, TH6, TH7, TH8, TH9",0603,32,Thermistor,
U1,8-uSOP,1,DS18B20U,DS18B20U
