F1:1
F10:1
F11:1
F12:1
F13:1
F14:1
F15:1
F16:1
F18:1
F2:1
F3:1
F4:1
F5:1
F6:1
F7:1
F8:1
F9:1
G***:1
J**:1
J10:1
J11:1
J12:1
J13:1
J14:1
J15:1
J16:1
J17:1
J18:1
J19:1
J2:2
J20:1
J3:1
J5:1
J6:2
J7:1
J8:1
J9:1
JP1:1
JP10:1
JP11:1
JP12:1
JP13:1
JP14:1
JP15:1
JP16:1
JP18:1
JP2:1
JP3:1
JP4:1
JP5:1
JP6:1
JP7:1
JP8:1
JP9:1
KIBUZZARD-6738FA22:1
KIBUZZARD-6738FB72:2
KIBUZZARD-67390047:1
KIBUZZARD-6739182D:1
KIBUZZARD-69840B33:1
KIBUZZARD-69840B56:1
KIBUZZARD-69840BF2:1
KIBUZZARD-69840BF7:1
KIBUZZARD-69840C1E:1
KIBUZZARD-69840C4F:1
KIBUZZARD-69840C62:1
KIBUZZARD-69840C71:1
REF**:4
TH1:1
TH10:1
TH11:1
TH12:1
TH13:1
TH14:1
TH15:1
TH16:1
TH17:1
TH18:1
TH19:1
TH2:1
TH20:1
TH21:1
TH22:1
TH23:1
TH24:1
TH25:1
TH26:1
TH27:1
TH28:1
TH29:1
TH3:1
TH30:1
TH31:1
TH32:1
TH4:1
TH5:1
TH6:1
TH7:1
TH8:1
TH9:1
